jobId,executionId,jobName,startedTick,finishedTick,ticks,startedAt,finishedAt
7487971e-1f84-4a12-9354-d76fa15cc88b,811d28bc-458b-4a8d-b49f-057d04de98ef,Job 1,3,18,15,2024-04-28T18:20:06.032Z,2024-04-28T18:20:36.003Z
61f6626a-8ae0-4b30-8095-a7df488dd17a,b15d6eab-5b7e-4e51-93f2-ee91ecefd822,Job 2,3,22,19,2024-04-28T18:20:06.035Z,2024-04-28T18:20:44.002Z
a367923d-79cb-49f7-92fd-e4b216b4315f,6ff73229-7859-4125-93e9-777a833a143b,Job 6,20,35,15,2024-04-28T18:20:40.016Z,2024-04-28T18:21:10.003Z
7487971e-1f84-4a12-9354-d76fa15cc88b,5920375f-8338-46e8-82ce-9070fbebbb2e,Job 1,20,36,16,2024-04-28T18:20:40.014Z,2024-04-28T18:21:12.001Z
4131afe6-02f2-4e8b-8d49-5661d644d0e4,ac2376a8-e05f-40d5-95e7-438cf6a2e511,Job 4,22,37,15,2024-04-28T18:20:44.012Z,2024-04-28T18:21:14.003Z
bd082b1c-ab9b-4081-ad19-e433cfdbac9b,da2bbab5-c4a2-44bd-8223-136ae1f3e65f,Job 7,22,37,15,2024-04-28T18:20:44.018Z,2024-04-28T18:21:14.014Z
42d538fe-0551-499f-8758-47366e9b6839,537cd820-8d6d-438e-b69f-4f3670bd885c,Job 5,22,38,16,2024-04-28T18:20:44.015Z,2024-04-28T18:21:16.002Z
ee757a19-eb9b-42d5-8e1d-3ba239b34221,960afe68-4d10-467b-9755-c6a76d440cac,Job 8,37,52,15,2024-04-28T18:21:14.052Z,2024-04-28T18:21:44.003Z
a367923d-79cb-49f7-92fd-e4b216b4315f,ce96d861-84cc-434a-ad6a-74d9a91a2740,Job 6,37,53,16,2024-04-28T18:21:14.045Z,2024-04-28T18:21:46.001Z
7487971e-1f84-4a12-9354-d76fa15cc88b,855c7fc4-95a9-497c-b7be-58faa1af7f24,Job 1,37,54,17,2024-04-28T18:21:14.042Z,2024-04-28T18:21:48.002Z
bd082b1c-ab9b-4081-ad19-e433cfdbac9b,1daa7067-9e32-4ad6-9f97-64838cc4b59a,Job 7,37,54,17,2024-04-28T18:21:14.048Z,2024-04-28T18:21:48.007Z
7f5c7676-279f-4f2b-86e0-fdb5ba255bef,039eca00-bccc-4bce-88ed-91a8112f0d1e,Job 9,37,54,17,2024-04-28T18:21:14.054Z,2024-04-28T18:21:48.010Z
ee757a19-eb9b-42d5-8e1d-3ba239b34221,19024e07-ca1f-4bad-8acd-a2857ffdd880,Job 8,52,67,15,2024-04-28T18:21:44.016Z,2024-04-28T18:22:14.002Z
42d538fe-0551-499f-8758-47366e9b6839,4a62fc38-5e08-42a8-8eab-1537c38f563a,Job 5,52,68,16,2024-04-28T18:21:44.014Z,2024-04-28T18:22:16.003Z
7f5c7676-279f-4f2b-86e0-fdb5ba255bef,68bda790-77cf-436c-a1df-b06ab2e2eec0,Job 9,54,73,19,2024-04-28T18:21:49.027Z,2024-04-28T18:22:26.003Z
94342861-4f84-4fea-ad70-a0fe43a4d762,b8fb3fca-5ee3-44ee-82f0-51cc7c1f4ed9,Job 11,54,74,20,2024-04-28T18:21:49.032Z,2024-04-28T18:22:28.002Z
1e37e699-de7f-472d-a6e0-018123a84dfc,80598b1d-cd62-4154-8079-c48851b873eb,Job 3,68,83,15,2024-04-28T18:22:17.027Z,2024-04-28T18:22:46.002Z
6d512353-5e01-4cfd-a4cb-ca97e3300939,7f08c6df-2bf1-4f17-b3cd-8952867c7a7b,Job 12,73,89,16,2024-04-28T18:22:27.023Z,2024-04-28T18:22:58.002Z
7b6124f1-36a5-4ce4-9448-8ab797d23038,c4c3b7a0-15ee-40ee-ae57-01ee8531b3da,Job 10,74,89,15,2024-04-28T18:22:29.024Z,2024-04-28T18:22:58.003Z
6d512353-5e01-4cfd-a4cb-ca97e3300939,bfbe31aa-284f-4af5-a73f-8e2e2f67b1a0,Job 12,89,104,15,2024-04-28T18:22:59.042Z,2024-04-28T18:23:28.003Z
72778a97-4bfd-4f89-8c93-e4a0507ee2d5,abc9c308-0483-4e7b-998c-f9cefd550fe1,Job 13,90,107,17,2024-04-28T18:23:01.023Z,2024-04-28T18:23:34.001Z
94342861-4f84-4fea-ad70-a0fe43a4d762,4fd7da20-8dc7-4829-9a4d-62dcbdbd9bb7,Job 11,89,108,19,2024-04-28T18:22:59.035Z,2024-04-28T18:23:36.002Z
